,y_true,y_pred_neg,y_pred_hyp,y_pred_hol,edge_i,edge_j
72,1,-3.4744656,4.3558893,0.49162436,10648,9568
73,1,-2.473029,3.1895485,0.028906526,55434,55091
74,2,-0.15604544,-1.9458182,2.038858,59228,59227
75,1,-3.7915776,4.7170124,0.6636325,23092,25120
76,1,-2.806017,3.5435188,0.31113124,7826,7546
77,1,-3.251955,4.151237,0.23493291,68940,68205
78,1,-2.1682806,2.785938,0.111654624,26750,26749
79,2,0.36530814,-2.7061117,1.9278177,13482,13471
80,1,-2.4863448,3.2046146,0.08524331,39287,39284
81,1,-2.4308698,3.138971,0.1669375,37244,37242
82,2,-1.5780752,-1.8137733,4.0241356,9476,7377
83,1,-2.848485,3.6828017,0.27071565,3872,3864
84,1,0.7942632,-0.4153016,-0.9395892,90344,90343
85,1,-3.127511,3.9517446,0.25213817,51851,53488
86,2,-0.90286267,-1.6112728,2.88861,62829,62818
87,1,-2.2190478,2.8303645,0.19297561,80848,80845
88,1,-2.5123196,3.1754656,0.3114174,63049,58322
89,1,-2.9644344,3.7213962,0.53603345,74174,75457
90,1,-2.0413074,2.6820567,-0.066512965,35949,35946
91,1,-2.4775348,3.1199698,0.39182302,76262,75939
92,1,-2.56859,2.9033191,0.76250166,19461,16554
93,1,-2.0436232,2.6407979,0.11260384,2111,2098
94,1,-2.725877,3.4534924,0.19576177,40909,40884
95,1,-3.161572,3.8475966,0.6508069,41909,41902
96,1,-3.1661754,4.080929,0.12626943,86662,91089
97,1,1.2300901,-1.0246917,-0.9322736,32108,32104
98,2,-1.8475744,2.3178833,0.18735412,41671,41672
99,1,-2.7921312,3.4760268,0.4734333,65745,65737
100,1,-2.8060625,3.6482482,0.14114335,80837,90988
101,1,-2.6210818,3.410304,0.0877104,90006,90005
102,1,-2.302439,2.9669948,0.106920615,43244,43226
103,1,2.633113,-2.8437593,-0.98260486,88527,88526
104,2,-1.190075,-1.0202028,2.6970465,61607,61598
105,1,-2.7630143,3.5448678,0.17367418,53876,52843
106,1,-2.998985,3.7252502,0.21988468,67063,66467
107,2,-0.9662565,-1.8806676,3.261244,62728,62652
108,1,-3.2589772,4.1910534,0.17492382,52685,56014
109,1,-2.6999726,3.436779,0.25473374,65328,65053
110,1,-2.9637825,3.731402,0.35872805,43114,43105
111,1,-0.57000524,1.1164112,-0.5286852,78991,78980
112,1,-2.0420885,2.6660354,-0.00448318,86523,86970
113,1,-1.4763654,1.369556,0.72358966,65762,65759
114,1,-1.162856,1.7777219,-0.3974347,87278,87276
115,1,-2.6559327,3.377838,0.18635446,16026,14367
116,2,-0.9757834,-2.9020941,4.373097,9335,9333
117,1,-2.4969084,3.1913939,0.12931868,71594,71593
118,1,-3.0193875,3.9026368,0.11329156,5874,5508
119,1,-2.676468,3.4500256,0.19830178,61352,61345
120,1,-2.3931885,3.0216727,0.24253787,42636,42642
121,2,1.7739516,-3.0331967,0.23444723,51123,90911
122,1,-1.9489133,1.3481635,1.4974121,63060,63024
123,1,-2.5213485,3.2423682,0.14159931,2894,2870
124,2,-1.0444376,-1.429172,2.951914,12973,12970
125,1,-3.393987,4.3557553,0.20753968,26274,26268
126,2,-1.537421,-1.8668711,4.3592267,47190,47142
127,2,-1.0736656,-3.5637698,5.220506,13981,13934
128,1,-2.6155457,3.410101,0.08715653,82356,80085
129,1,-2.401137,2.9953556,0.39846414,22059,16296
130,2,-1.0283781,-0.5108949,2.0026634,30171,28667
131,1,-2.2210333,2.7511652,0.3065377,66633,66634
132,2,-0.8476623,-2.2768102,3.5495598,59176,59160
133,1,-2.4901237,3.2244968,0.037367538,4883,4149
134,2,-0.8154878,-2.2196548,3.3626735,63745,63724
135,1,-1.2473865,-0.42990983,2.157197,18452,14699
136,1,-2.5040524,3.1719265,0.3633559,61622,61612
137,1,-2.0148962,2.561568,0.18630564,33801,33800
138,1,-2.2423944,2.8146439,0.27992585,74616,75141
139,1,-2.8887157,3.7022922,0.15891126,43456,43271
140,1,-2.971174,3.8010657,0.17921415,10241,10217
141,1,-2.8560827,3.665891,0.39849502,21614,22077
142,1,-2.150369,2.7754292,0.086311124,86895,86894
143,2,0.585551,-2.470392,1.2276039,63078,63077
144,1,-2.7200167,3.4648898,0.25850156,46184,46072
145,2,-1.6009619,-0.073124185,2.4112396,13293,13292
146,1,-1.0054163,1.5361267,-0.4016063,40376,40373
147,1,-1.5206289,1.9195598,0.07854428,25447,19063
148,2,-0.8616486,0.7081289,0.49906838,43671,43668
149,1,0.39103845,-0.030383464,-0.64238596,23522,17866
150,1,-2.8772492,3.7094564,0.06312556,53706,16
151,1,-1.2776586,1.9395053,-0.28805783,87658,87656
152,1,-2.5271986,3.2646825,0.08411778,89995,89985
153,1,-3.3843548,4.302356,0.35417083,45193,43345
154,1,2.6342227,-2.7863455,-0.9182918,84865,84864
155,1,-3.2842255,3.6951468,1.0096842,21311,22908
156,1,-3.1388266,4.067949,0.29901835,67655,67420
157,2,0.3598364,-1.4836146,0.9284434,62817,62815
158,1,-2.097264,2.611014,0.2857047,24592,18980
159,1,-2.9344068,3.777542,0.111851126,51755,54224
160,1,-2.793414,3.4561207,0.43513778,22984,23792
161,1,-3.155142,4.0756884,0.27304822,37632,37625
162,1,-2.3095887,2.9226775,0.17984714,85892,85886
163,1,-2.8814228,3.6339889,0.2768799,5631,5630
164,1,0.48907077,-0.001865305,-0.87485826,80711,80707
165,1,-3.3953526,4.129837,0.5726915,20896,20026
166,1,-1.265909,1.8214843,-0.27114078,57056,56296
167,1,-2.052916,2.6312482,0.07452854,70587,70693
168,1,-2.1463728,2.1046314,1.0080738,21593,16532
169,1,-1.9956194,2.1556544,0.63727945,20896,20901
170,2,-2.9446924,3.6682026,0.3900132,30096,29086
171,1,-2.3460658,3.0385315,0.028100284,51962,54168
172,1,-1.423767,-0.4632944,2.5761068,25384,19073
173,2,-1.8129754,-1.2647756,4.0901794,68965,68963
174,2,-0.9785027,-2.053859,3.5342598,48332,48324
175,1,-3.5420094,4.5508294,0.26171726,37820,37895
176,1,-2.6043665,3.3480446,0.10995413,80274,78690
177,1,-1.4714564,1.2724763,0.76261085,24788,19487
178,1,-2.5634463,3.2699926,0.2177173,18330,15573
179,1,-2.5851645,3.295261,0.23958535,70083,69911
180,2,-0.88650995,-1.6627964,2.9853466,48421,48411
181,1,-2.7127957,3.3152723,0.50254774,76806,76790
182,1,-2.7623196,3.5526395,0.2186695,71021,73489
183,1,-2.0779188,2.6986,-0.06684143,52035,52247
184,1,-2.5162747,3.248278,0.05705478,87437,89344
185,1,-2.9576867,3.7761703,0.15833576,73112,70279
186,1,1.4550354,-2.0389118,-0.26549137,40117,40115
187,2,-0.67161846,-2.0395095,2.954527,62768,62767
188,2,-0.2597455,-1.6750015,1.6862936,8947,8945
189,1,-2.263306,2.963493,0.06569683,85604,79340
190,1,-3.3342006,4.276572,0.20852563,84445,84430
191,2,-1.6486526,-0.1092203,2.5389993,57547,44068
192,1,-2.516714,3.1728387,0.25292933,34809,34744
193,1,-0.07579345,0.2792926,-0.19477011,34241,34240
194,1,-3.2552066,4.206627,0.1818789,83694,91129
195,1,-2.4623451,3.2212534,0.004735766,54715,51798
196,1,-2.4496756,3.0208328,0.38841438,13053,13042
197,2,-1.0612775,-1.5317006,3.1181848,62040,62009
198,1,-2.5329664,3.2529151,0.12774836,1601,1600
199,1,-2.0860784,2.6263275,0.14284152,15297,14380
200,2,0.26352906,-2.6589732,2.0831988,7529,7527
201,1,-3.117853,4.0233583,0.09944355,55125,16
202,1,-0.5511767,1.0494808,-0.33983245,86889,86888
203,1,-2.8387039,3.6816013,0.11291826,86767,90963
204,1,-3.0642562,3.987958,0.11097269,61442,61437
205,2,-1.1116247,0.06001284,1.633722,15505,18580
206,1,-2.864889,3.6451216,0.23345985,65577,65481
207,1,-2.8892443,3.6598704,0.24540515,34047,34044
208,1,-2.7902467,3.5192046,0.40880653,22585,20417
209,2,-0.79859537,-2.3427057,3.8190455,48021,48001
210,1,-3.0038028,3.7296362,0.5005228,75803,75798
211,1,-2.3486166,2.9952006,0.26414463,45423,43590
212,2,-1.2348021,0.40725204,1.3476923,12623,12617
213,2,-1.4248677,-0.87773395,3.0038455,11788,11787
214,1,-3.4107697,4.4285126,0.17348135,88579,88581
215,2,-0.8575009,-0.9954189,2.2453966,65104,65071
216,1,-1.5032037,1.2441521,1.0074422,23891,15355
217,1,-3.0703485,3.898579,0.35673383,60166,58336
218,2,-1.3013737,-2.0364482,3.9640656,9179,9178
219,2,-1.3089899,-0.80289257,2.7089798,30639,30630
220,1,-2.3704486,3.0433962,0.09285671,80131,80124
221,1,-1.7302898,2.26746,-0.092806175,82550,82549
222,1,-2.3389606,2.6574538,0.6094173,58694,58684
223,1,-1.9330679,2.3750594,0.27808824,25548,20417
224,1,-3.0695298,3.9048147,0.269956,39625,39599
225,1,-0.9394016,1.4255248,-0.43828377,42310,42308
226,1,-3.2170932,3.9660516,0.22780418,32191,32188
227,1,-2.120842,2.669977,0.22314264,5988,5987
228,1,-2.9190347,3.7395847,0.22421838,54894,51175
229,2,-0.94383854,-1.2421243,2.6399229,61464,61456
230,1,-1.8142447,2.4421327,-0.0858692,70431,70430
231,2,-1.0146719,-1.6573929,3.226215,63085,63020
232,2,-0.69648385,-2.0538142,3.1613278,48692,48691
233,1,-2.8748116,3.6966116,0.12953664,83316,80124
234,1,-1.8108314,0.9892727,1.619055,18429,15220
235,1,-2.547926,3.168181,0.31243435,20398,24204
236,1,-1.9696661,2.4878693,0.13405286,30715,30714
237,2,-1.27228,-0.52097917,2.4413257,13614,13612
238,1,-3.312757,3.7904294,0.8887036,30222,28833
239,1,-3.1688483,4.0326424,0.29500023,50819,50528
240,1,-3.5237687,4.4982753,0.26664317,68445,68191
241,1,-2.0968134,2.0730238,1.0017306,24356,17642
242,1,-2.726936,3.4382515,0.20662574,34297,34291
243,2,-1.4541413,0.67920643,1.4023973,14356,24903
244,1,-1.5998899,2.2097034,-0.23671389,26555,26551
245,1,-1.4486526,1.2434326,0.6781163,34272,34271
246,1,-2.4838035,3.1960382,0.14736632,88969,91222
247,1,-2.6552274,3.4225507,0.025820734,33156,33153
248,1,-2.366892,3.0558012,0.104359716,79976,85174
249,1,2.5583155,-2.8086197,-0.8589029,75704,76340
250,2,-0.8655886,-0.58589005,1.78118,25204,25120
251,2,-0.8762478,-0.75490487,1.9566625,60509,60476
252,1,-1.63447,2.152585,0.08630377,69865,69863
253,1,-2.6481652,3.365021,0.14097568,42312,42307
254,1,-2.569608,3.3333957,0.12697822,10947,10946
255,1,-2.7264025,3.5352693,0.1055108,78881,78319
256,1,-0.48585138,0.78219634,-0.13201576,61970,65577
257,1,-2.071083,2.7014608,0.021801623,39483,39278
258,2,-2.08962,1.5196028,1.4422909,15445,23982
259,1,-2.0461168,2.6257527,0.14187562,3244,3218
260,1,-2.343853,2.9242904,0.30309454,65515,65495
261,2,-0.7301084,-2.8329265,4.0025477,10530,10512
262,2,2.7560842,-3.3125744,-0.7468118,11815,11814
263,1,-1.277705,1.7512606,-0.41453868,84744,84743
264,1,-2.8834276,3.6072538,0.4459684,65747,65737
265,1,-3.0471206,3.815571,0.39450684,24213,18419
266,1,-2.66665,3.4316096,0.120872505,53955,53814
267,1,-2.9012737,3.7668748,0.10667083,77766,77762
268,1,-2.1642313,2.7026882,0.2837473,51132,44118
269,1,-1.5340283,2.106418,-0.17112309,41205,41200
270,1,-3.3294928,3.9244413,0.84122396,21247,18918
271,1,-3.454304,4.44396,0.26391435,6678,6711
272,1,2.889862,-2.8650894,-1.1332736,36387,36386
273,1,1.8545877,-2.7768195,-0.06580767,31990,31989
274,2,-0.35448733,-1.7980822,2.3626628,30572,30415
275,2,-1.4030262,-0.04204741,2.0722992,13457,13456
276,1,-3.323786,4.238957,0.27362344,60217,58336
277,1,-0.9687973,1.461654,-0.29986745,51930,52334
278,1,-3.0683389,3.962326,0.1615346,267,85
279,2,-2.6875274,3.155187,0.59960157,50163,49035
280,1,-3.3563817,4.28589,0.2174857,67955,67808
281,1,-3.0725303,3.9238205,0.23056693,29537,29723
282,2,-1.489086,-0.66104,2.9444962,10447,10446
283,1,-1.710925,1.6482236,0.66446906,17969,14513
284,1,-2.8238227,3.6542778,0.1262217,27947,27894
285,1,2.4116147,-2.699099,-0.7807839,6412,6411
286,2,-1.7522,0.5315642,1.9968231,49123,49099
287,1,-1.1304042,1.2770289,0.20133513,16106,25078
288,1,-0.047612704,0.11679887,-0.06651922,18109,23730
289,1,-3.0135572,3.2612975,1.0000609,12947,12944
290,1,-2.6463811,3.3838816,0.1797098,61154,58335
291,1,-2.1404092,2.752267,0.1345145,4260,4258
292,1,-2.792946,3.295704,0.6001607,65009,65004
293,1,-2.2011867,2.8854568,0.019504638,78972,78965
294,1,1.1444305,-0.8419743,-0.94030356,89393,89390
295,1,-2.5214756,3.223779,0.1237556,33883,33827
296,2,1.8981596,-3.262077,0.30318534,13481,13478
297,2,-0.70839816,-2.4097445,3.361456,9603,9597
298,1,-1.817935,1.7899493,0.63554317,29040,28933
299,1,-2.6565845,3.2207725,0.52956295,12616,12554
300,1,-2.9313242,3.7013144,0.3688002,60283,58336
301,1,-0.5949938,1.1293505,-0.6082417,80060,80059
302,1,-3.2316117,3.9239728,0.68107843,24689,25569
303,1,-2.969169,3.7774882,0.24836119,69075,69038
304,1,-2.565334,3.3157594,0.051221836,69582,69580
305,1,0.372117,-1.4250945,0.7928293,18407,23413
306,1,-3.3871262,4.3549137,0.16855907,79404,90974
307,1,-2.7762427,3.5643456,0.16108294,70674,70595
308,1,-2.6649086,3.33165,0.39645377,59479,58334
309,1,-2.3261561,2.8911293,0.27810353,20821,17766
310,1,-2.362821,2.855411,0.39943707,7323,7318
311,1,-1.8704791,2.4983609,0.018482788,52143,53548
312,1,-2.6507647,3.1685638,0.63159853,43961,44990
313,1,-2.5263228,3.2503078,0.085548036,8140,8079
314,1,-3.1746323,4.086518,0.1690161,51211,51175
315,1,0.45769462,0.04229679,-0.88610774,79850,79849
316,1,-2.6739922,3.019169,0.80443203,19935,17683
317,1,2.214267,-2.812839,-0.6072136,524,606
318,1,-3.2438548,4.1591787,0.26099452,37230,37214
319,2,-0.3374104,-2.7605126,3.3107433,10281,10280
320,1,-1.6843796,2.1845117,0.12168466,56493,55921
321,2,-1.121332,0.096469544,1.507063,17078,15712
322,2,-2.1014488,1.2496153,1.8423539,29180,29154
323,2,-1.5062304,-0.55095035,2.6723037,77175,76974
324,1,-2.2005823,2.7143636,0.2364371,67115,67113
325,1,-2.7313821,3.4929154,0.21044105,11615,11599
326,2,-2.6282153,2.876782,0.8163967,42093,61635
327,2,-0.51417315,-2.1618965,2.8898964,11807,11806
328,1,-2.23635,2.9244018,0.09316943,82201,82192
329,1,-2.7330868,3.5653129,0.07225237,81902,81901
330,1,-1.417262,1.6571381,0.33897242,18089,21327
331,1,0.009558242,0.44382435,-0.685638,39861,39856
332,1,-3.1405733,3.9995766,0.27269962,34203,34199
333,1,-3.2093394,3.8628588,0.65999484,24237,18888
334,2,-1.1415907,-1.0439152,2.634271,9518,9517
335,1,-2.1179018,2.7375965,0.06635316,38016,38026
336,1,-2.0876145,2.6440427,0.36612502,70882,70637
337,1,-3.0307565,3.8216558,0.36221588,29309,29270
338,1,-2.9068894,3.7510111,0.1994438,73371,73367
339,2,-0.43595266,-1.1359198,1.834503,29216,29239
340,2,-1.0804518,-1.5415043,3.0907316,59855,59853
341,2,-1.6503812,1.0932422,1.1764373,730,5288
342,2,-1.1233406,-2.4785028,4.2046914,13813,13430
343,2,-1.6169903,-0.14022925,2.5034127,12801,12800
344,1,-3.0616672,3.86905,0.26548043,20157,20274
345,1,0.5299182,-0.53531057,-0.46069902,4964,4961
346,1,-3.5540688,4.5862613,0.30736846,12004,11873
347,1,-1.5812896,2.1447284,-0.06500751,36319,36318
348,1,-2.7587035,3.0675924,0.87060535,6958,43836
349,1,-3.1416252,4.028288,0.20438941,50748,50708
350,1,-2.3222075,3.0497413,-0.004468495,77676,79860
351,1,1.0997031,-0.8081069,-0.8722146,6232,6217
352,1,-2.9165146,3.7324793,0.19495356,41074,41069
353,1,-2.0596867,2.6060886,0.23697273,43874,44049
354,1,-2.839113,3.6125894,0.39312536,64047,58337
355,2,1.0215806,-2.724454,0.9467925,65328,65327
356,1,-2.3358266,2.9628584,0.2326897,17737,21714
357,1,-2.8346555,3.661283,0.16604915,36390,39067
358,2,-1.031288,-1.3584228,2.9108813,13169,13167
359,1,-2.1374524,2.789811,0.021810414,78840,78846
360,1,-2.943402,3.7855232,0.2544055,13702,7183
361,1,-1.8120618,1.8496763,0.6599479,76098,75655
362,2,-1.7830461,-0.5846768,3.2864933,36591,34839
363,1,-2.6687627,3.4177184,0.15479083,34918,35354
364,1,-2.2881875,2.9506633,0.11476535,80697,81082
365,1,-2.4905756,3.0510395,0.3972935,41932,41931
366,1,-0.75068045,1.2415748,-0.35568178,66842,66840
367,1,-1.8730379,2.4205105,0.06526641,72203,71538
368,1,-2.2507553,2.8672574,0.09659714,28633,28631
369,2,-1.2177535,-0.30481476,2.1351352,21113,21114
370,1,-2.6207578,3.3116746,0.12877972,51691,57099
371,1,-2.5294955,3.1779182,0.32415572,44944,44844
372,1,-2.9770021,3.779923,0.18105353,32439,32350
373,1,-2.3320963,3.027732,0.076934256,88474,88470
374,1,-2.6815643,3.3681421,0.26785567,67189,67186
375,1,-3.19975,4.118481,0.15030286,40504,33
376,1,-2.8822644,3.7305841,0.08578045,89100,90982
377,1,-2.1268184,2.7534606,0.10035127,79426,79423
378,1,-2.9613385,3.673371,0.5163041,19694,21877
379,1,-2.6119585,3.162359,0.5015231,826,824
380,1,-2.878846,3.6955113,0.13230796,54907,16
381,1,-2.1990037,2.6577938,0.39877617,15038,21677
382,1,-2.661724,3.4024994,0.16061601,54493,50481
383,1,-2.2650042,2.8713505,0.0976643,86576,86575
384,1,0.16868846,0.09904467,-0.63300717,36697,36878
385,1,-2.1417594,2.780989,0.041353848,4476,4450
386,1,-3.123332,4.005017,0.2184886,50921,51125
387,1,-2.7782686,3.532142,0.3938479,60081,58686
388,1,-2.198035,2.6962652,0.2372453,17124,21712
389,1,-2.1242292,2.6872222,0.17483927,38205,38206
390,1,-3.0008056,3.8281558,0.3377853,59203,58331
391,2,0.49620104,-1.4733373,0.5964648,23358,23310
392,1,-2.4329164,2.8185031,0.68931127,13360,13358
393,1,-2.5716236,3.1810205,0.33058774,24962,14952
394,1,-2.5479658,3.3000908,0.0780346,79020,78319
395,1,-2.1688704,2.781897,0.23861456,59098,59096
396,1,-2.163803,2.7682679,0.096459396,74884,75927
397,1,2.2341077,-2.7644465,-0.642937,74810,74809
398,1,1.1127945,-1.4249706,-0.20076954,56273,56271
399,1,-1.7855349,2.1715617,0.18151677,59338,43455
400,1,-0.3814668,0.9472358,-0.57997024,5352,5345
401,1,-2.2618563,2.893281,0.08369101,41163,41162
402,1,-2.6036174,3.2989202,0.27006403,22793,21540
403,2,-0.6747867,-1.8893912,2.8607118,63558,63532
404,1,-2.6848063,3.4602733,0.10955565,33397,33379
405,1,-3.3415878,4.34625,0.13722591,52791,56442
406,1,-3.7358546,4.682433,0.5654319,44605,44576
407,1,2.743383,-2.7778318,-1.0148327,87441,87440
408,1,-3.1377904,3.9991808,0.28372076,61012,58322
409,1,-3.100999,3.8483927,0.5904292,6440,2267
410,1,-3.2132113,4.1387625,0.10995871,52210,16
411,1,2.4340484,-2.6020577,-0.90238416,89860,89859
412,1,-2.470266,3.1564803,0.09420838,86133,85657
413,1,-2.2460778,2.6713054,0.43707412,34527,34491
414,2,-1.949082,-0.9656025,4.1694193,47898,48821
415,1,-2.2045467,2.43553,0.5204223,9390,9383
416,1,-3.4699802,4.4673486,0.19641353,86963,91089
417,1,-2.8163419,3.6083348,0.1358846,84636,84634
418,1,-2.517577,3.2285151,0.124731705,79010,78975
419,2,-1.5005746,-0.124955066,2.4147568,21194,21198
420,2,-0.19991076,-1.588744,1.7660222,61026,61024
421,1,-1.9369733,2.363684,0.34618518,44775,44774
422,1,-2.8230546,3.5216422,0.3103485,27537,27535
423,2,-0.8576569,-1.5671629,2.7643979,66208,66194
424,1,-3.2170703,4.1376224,0.1437094,53053,56707
425,1,-2.3820891,3.087076,0.033594847,57238,56296
426,2,-1.443056,1.5577672,0.41315413,506,501
427,1,-2.8350291,2.9183192,1.0243601,6780,6773
428,2,-1.2061961,-1.3274256,3.0720706,64162,64161
429,1,-3.3441188,4.2655454,0.33159506,36975,36956
430,1,-2.3078218,2.9959347,0.042679016,83386,91131
431,2,-0.20211622,-0.9755195,1.3460702,29348,29123
432,1,-1.790765,2.1984892,0.2689042,2155,2146
433,2,-1.1568335,-1.2813869,2.9707403,8415,8414
434,1,-2.9772642,3.6165614,0.56970644,66022,65874
435,1,-3.055477,3.9030585,0.20828298,61091,65571
436,1,1.4319471,-1.5793062,-0.58496267,28875,28868
437,1,-2.3394701,2.9588861,0.16068171,5372,5370
438,1,-2.5648665,3.1291535,0.5031401,21114,15764
439,1,0.7340925,-0.51074386,-0.7182653,32010,32008
440,1,-3.1383739,3.9157472,0.379828,48920,49641
441,2,-1.0144402,-0.66610795,2.079288,77311,77310
442,2,-0.9551337,-1.0327798,2.328096,62124,62123
443,1,-2.9494183,3.7969954,0.13914645,82142,82140
444,1,-3.0931103,3.9582624,0.18002394,50648,50592
445,1,-3.3515074,4.283601,0.19331905,82581,91067
446,2,-1.1832684,-1.6252005,3.3404994,48490,48483
447,1,-2.4737537,3.2135627,0.07033012,88243,88247
448,2,-1.4804974,-1.1080604,3.4345465,48851,47804
449,1,-2.321946,2.9130058,0.30315265,22723,18880
450,1,-3.144288,3.9854465,0.28625193,12695,9480
451,1,-0.5614769,1.0821509,-0.6670226,80575,80573
452,1,-1.8975391,2.5469,-0.026887992,60465,60462
453,1,-2.5661871,3.230695,0.21083455,25102,20403
454,1,-2.610932,2.5950525,1.1553377,9649,28854
455,1,-2.0564222,2.7432392,0.06607795,59826,59798
456,1,0.060509756,-0.30779418,0.09826846,392,391
457,2,-1.6415011,-1.3567417,4.0854793,47653,48821
458,2,0.2971579,-2.2849584,1.7167678,46697,90894
459,1,-2.9299037,3.693013,0.30352432,73927,75261
460,1,-1.2625247,1.8569498,-0.28001428,89488,89489
461,1,-2.8951905,3.7316847,0.13028793,87760,90990
462,1,-2.7786868,3.5679789,0.21657558,71204,71162
463,2,-2.9263985,2.9327612,1.3110203,29020,30602
464,1,-2.9351656,3.8011518,0.46326137,2778,2777
465,2,-0.9028154,0.7037728,0.5670566,13198,7541
466,1,-2.2895741,2.925375,0.16623864,71070,71097
467,1,0.26836696,-0.44603097,-0.19652387,11666,11663
468,1,-2.6884036,3.4183314,0.18350998,38536,38522
469,2,1.4011177,-2.7917213,0.5186906,13081,13075
470,2,0.66234994,-3.0354178,1.8318806,61207,61206
471,1,-2.7788568,3.52892,0.18349168,76729,76724
472,1,-2.2012527,2.4266798,0.6424957,44026,44025
473,2,-0.4696819,-1.9871235,2.8107812,12715,12714
474,1,-2.4150865,3.2001154,0.03669183,64616,64614
475,1,1.7628782,-1.627549,-0.97328484,28203,28202
476,1,-1.2459834,1.8903701,-0.35059628,27903,27901
477,1,-2.9508128,3.8009114,0.21457721,67660,67479
478,1,-2.6597774,3.2165368,0.5758663,28846,28843
479,1,-1.7697247,2.2870564,0.027664166,16190,73872
480,1,-3.5013466,4.512337,0.30645603,51161,51153
481,2,-1.7999249,1.1023936,1.4939339,63089,63088
482,1,-3.2837849,4.1815925,0.3466918,21509,14242
